Mol Form,SMILES
C17H19F3N4O2S,CS(=O)(=O)N1CCN(CC1)C(c2ccc(cc2)C(F)(F)F)c3cncnc3
C22H21N5OS,Cc1ncsc1C(=O)N2CCN(CC2)C(c3ccc(cc3)C#N)c4cccnc4
C22H21N5O2,O=C(NC1CCN(CC1)C(c2ccc(cc2)C#N)c3cccnc3)c4oncc4
C19H18F4N6O,Cc1noc(n1)N2CCN(CC2)C(c3cncnc3)c4ccc(cc4F)C(F)(F)F
C23H22F3N3OS,FC(F)(F)c1ccc(cc1)C(NC2CCN(CC2)C(=O)c3ccccc3)c4cncs4
C23H20F3N3O,FC(F)(F)c1ccc(cc1)C(NC2CN(C2)C(=O)c3ccccc3)c4cccnc4
C23H23F3N4O2,Cc1onc(C)c1C(=O)N2CCC(CC2)N(c3ccc(cc3)C(F)(F)F)c4cccnc4
C23H20F6N4,FC(F)(F)c1ccc(cc1)N(C2CCN(CC2)c3ccc(cn3)C(F)(F)F)c4cccnc4
C20H22F3N3O,CC(=O)N(CC1CCN(CC1)c2ccc(cc2)C(F)(F)F)c3cccnc3
C21H26N4O,CC(C)(O)CN1CCC(CC1)N(c2ccc(cc2)C#N)c3cccnc3
C25H24N4O3S,CS(=O)(=O)c1ccc(cc1)N2CCN(CC2)C(=O)C(c3ccc(cc3)C#N)c4cccnc4
C23H26N4O3,CC(C)(C)OC(=O)N1CCN(CC1)C(=O)C(c2ccc(cc2)C#N)c3cccnc3
,Clc1ccc(cc1)C(C(=O)N2CCN(CC2)C(=O)c3ccc(Cl)cc3)c4cccnc4
,CC(C)C(=O)N1CCN(CC1)C(c2cccnc2)c3ccc(Cl)cc3F
,Fc1cc(Cl)ccc1C(N2CCN(CC2)C(=O)c3ccccc3)c4cccnc4
,Fc1cc(Cl)ccc1C(N2CCN(CC2)S(=O)(=O)c3ccccc3)c4cccnc4
,CS(=O)(=O)N1CCN(CC1)C(c2cccnc2)c3ccc(Cl)cc3F
,Fc1cc(Cl)ccc1C(N2CCN(CC2)C(=O)Oc3ccccc3)c4cccnc4
,Fc1cc(Cl)ccc1C(N2CCN(CC2)C(=O)C(F)(F)F)c3cccnc3
,Cc1ncsc1C(=O)N2CCN(CC2)C(c3cccnc3)c4ccc(Cl)cc4F
,Cc1onc(c1)C(=O)N2CCN(CC2)C(c3cccnc3)c4ccc(Cl)cc4F
,Cn1cccc1C(O)(c2ccc(Cl)cc2)c3ccc(Cl)cc3
,CO\N=C(/Cc1ccccc1)\c2ccc(OC)cc2
,CO\N=C(/Cc1ccccc1C)\c2cccnc2
,CC(=O)N1CCN(CC1)C(c2ccc(Cl)cc2)c3cccnc3
,CCCCC(NCC1CCCCC1)c2cccnc2
,NC(=O)c1cccc(c1)C(O)(c2ccc(Cl)cc2)c3cccnc3
,CC(C)CCO\N=C(\Cc1cccnc1)/c2ccc(Cl)cc2Cl
,COc1ccccc1N2CCN(CC2)C(c3ccc(cc3)C(F)(F)F)c4cnccn4
,Clc1ccc(cc1)C(CC2CCCCC2)(C#N)c3cnccn3
,CC(C)CS(=O)(=O)NC(c1ccc(cc1)C(F)(F)F)c2cnccn2
,FC(F)(F)c1ccc(cc1)C(NC(=O)c2ccc(cc2)C(F)(F)F)c3cnccn3
,COc1ccccc1N2CCN(CC2)C(c3cncnc3)c4ccc(Cl)cc4F
,CCC(=O)N1CCN(CC1)C(c2ccc(Cl)cc2)c3cncnc3
,Clc1ccc(cc1)C(N2CCN(CC2)C(=O)C3CC3)c4cncnc4
,Clc1ccc(cc1)C(N2CCN(CC2)S(=O)(=O)Cc3ccccc3)c4cncnc4
,Clc1ccc(cc1)C(N2CCN(CC2)S(=O)(=O)c3ccc(Cl)cc3)c4cncnc4
,CC(=O)NC1CCN(CC1)C(c2cnccn2)c3ccc(F)cc3F
,FC(F)(F)c1ccc(cc1)C(N2CCC(CC2)NC(=O)c3ccc(cc3)C(F)(F)F)c4cnccn4
,FC(F)(F)c1ccc(cc1)C(NC2CCN(CC2)C(=O)c3ccc(cc3)C(F)(F)F)c4cnccn4
,CC(C)(C)NC(=O)N1CCC(CC1)NC(c2ccc(Cl)cc2)c3cccnc3
,Fc1cc(Cl)ccc1C(N2CCN(CC2)C(=O)OCc3ccccc3)c4cccnc4
